Country;Year;Food Category;Total Waste (Tons);Economic Loss (Million $);Avg Waste per Capita (Kg);Population (Million);Household Waste (%);Economic Loss per Ton ($);Year Category
Argentina;2019;Fruits & Vegetables;1647998;1769951;269;53715;3365; 10.740.006.966.027.900,00 ;2018-2021
South Africa;2023;Grains & Cereals;1851925;1989246;6969;80092;5628; 10.741.504.110.587.600,00 ;2022-2024
Mexico;2024;Prepared Food;2589607;2782057;6231;91357;4584; 10.743.162.958.703.800,00 ;2022-2024
South Korea;2020;Beverages;4694456;5043765;15166;16441;3377; 10.744.088.345.912.700,00 ;2018-2021
China;2022;Fruits & Vegetables;4318163;4639612;5505;99851;5184; 10.744.411.454.593.100,00 ;2022-2024
Australia;2021;Grains & Cereals;852713;916194;6078;37006;6298; 10.744.459.155.659.600,00 ;2018-2021
South Africa;2024;Meat & Seafood;2730653;2934847;17003;105027;6987; 10.747.784.504.292.600,00 ;2022-2024
Japan;2019;Bakery Items;1808787;1944224;3488;67127;4323; 10.748.772.519.926.300,00 ;2018-2021
Mexico;2021;Fruits & Vegetables;2507826;2695634;738;2682;4574; 10.748.887.682.000.300,00 ;2018-2021
Japan;2021;Grains & Cereals;359725;3867177;3468;14529;4941; 10.750.370.421.850.000,00 ;2018-2021
Argentina;2024;Frozen Food;4566394;4909295;19339;109933;6277; 10.750.922.938.318.500,00 ;2022-2024
Canada;2018;Dairy Products;4813263;5176774;5474;25466;3577; 10.755.227.794.533.600,00 ;2018-2021
China;2019;Bakery Items;4299933;4624808;17609;2385;4962; 10.755.535.028.103.900,00 ;2018-2021
Spain;2023;Frozen Food;557576;599771;16826;9207;422; 10.756.757.823.148.800,00 ;2022-2024
Japan;2018;Beverages;2399063;2581235;1588;62805;5798; 10.759.346.461.514.300,00 ;2018-2021
Turkey;2021;Prepared Food;986752;1061689;19395;35522;5174; 10.759.430.941.107.800,00 ;2018-2021
France;2021;Prepared Food;1097789;1181226;8806;15663;4751; 10.760.045.874.025.000,00 ;2018-2021
South Africa;2021;Meat & Seafood;1438068;154738;1134;30745;4562; 10.760.130.953.473.700,00 ;2018-2021
Italy;2024;Fruits & Vegetables;247483;266313;9122;138217;5815; 10.760.860.341.922.500,00 ;2022-2024
Germany;2018;Fruits & Vegetables;912046;981479;14525;138914;5512; 10.761.288.356.069.800,00 ;2018-2021
South Africa;2018;Meat & Seafood;3452222;3716244;18471;4514;3972; 10.764.788.591.232.000,00 ;2018-2021
China;2019;Dairy Products;2345217;2524616;13402;47394;3627; 10.764.956.931.490.800,00 ;2018-2021
Italy;2022;Frozen Food;3834796;4128516;7247;50624;5952; 10.765.933.833.246.900,00 ;2022-2024
Canada;2018;Beverages;427351;460098;16132;12545;3128; 10.766.278.773.186.400,00 ;2018-2021
Turkey;2023;Dairy Products;2296366;2472396;1057;126502;308; 10.766.558.989.290.000,00 ;2022-2024
Indonesia;2020;Prepared Food;3335871;3591666;16502;107565;5568; 10.766.801.234.220.400,00 ;2018-2021
Indonesia;2019;Dairy Products;2060888;2219389;339;124178;316; 10.769.090.799.694.100,00 ;2018-2021
India;2020;Fruits & Vegetables;3265296;3516555;13406;2349;4439; 10.769.483.072.897.500,00 ;2018-2021
UK;2022;Dairy Products;3381551;3641948;5161;127684;522; 10.770.051.967.277.700,00 ;2022-2024
Saudi Arabia;2020;Fruits & Vegetables;488773;526503;2207;89792;5872; 10.771.932.983.204.900,00 ;2018-2021
UK;2023;Dairy Products;2087701;2248955;8303;78666;3015; 10.772.399.879.101.500,00 ;2022-2024
Canada;2019;Meat & Seafood;572828;617095;17763;12446;4378; 10.772.779.961.873.400,00 ;2018-2021
Brazil;2022;Prepared Food;1228915;1323972;13734;103797;607; 10.773.503.456.300.900,00 ;2022-2024
Italy;2023;Prepared Food;4251789;458069;4038;111979;3987; 10.773.559.083.011.900,00 ;2022-2024
USA;2020;Dairy Products;2051726;2210848;7166;85536;5097; 10.775.551.901.179.800,00 ;2018-2021
Saudi Arabia;2024;Bakery Items;1051994;1133634;13436;120163;667; 10.776.050.053.517.400,00 ;2022-2024
South Africa;2021;Meat & Seafood;4779517;5150842;238;138494;4459; 10.776.909.047.504.200,00 ;2018-2021
Canada;2020;Beverages;3267337;3521193;8508;85555;4027; 10.776.950.770.612.300,00 ;2018-2021
Canada;2019;Grains & Cereals;1831753;1974529;744;40338;3395; 10.779.450.067.776.600,00 ;2018-2021
Australia;2019;Frozen Food;4990288;537951;11438;128643;5774; 10.779.958.992.346.700,00 ;2018-2021
Australia;2018;Beverages;3140575;3385631;19486;123283;6467; 10.780.290.233.476.400,00 ;2018-2021
Germany;2018;Beverages;1739453;1875729;15452;35936;4104; 10.783.441.691.152.300,00 ;2018-2021
France;2024;Bakery Items;395924;426963;10729;98709;3389; 10.783.963.588.971.600,00 ;2022-2024
Italy;2024;Meat & Seafood;4740516;5112455;1074;88289;3594; 10.784.596.022.880.200,00 ;2022-2024
Saudi Arabia;2022;Frozen Food;3355864;3620196;4406;109907;6553; 10.787.671.967.636.400,00 ;2022-2024
France;2018;Prepared Food;332920;3591614;16126;93923;6118; 10.788.219.392.046.100,00 ;2018-2021
France;2020;Meat & Seafood;4244257;4578895;18832;14291;3235; 10.788.448.955.847.900,00 ;2018-2021
Mexico;2021;Prepared Food;380779;410809;8696;1449;4377; 10.788.646.432.707.700,00 ;2018-2021
Turkey;2022;Grains & Cereals;3498366;3774395;9633;6120;3322; 10.789.022.646.572.700,00 ;2022-2024
Brazil;2023;Grains & Cereals;1374482;1482962;18428;87775;6238; 10.789.242.783.826.900,00 ;2022-2024
Germany;2024;Fruits & Vegetables;1310739;1414218;13378;48834;3313; 10.789.470.672.651.100,00 ;2022-2024
Italy;2021;Grains & Cereals;408253;440573;1586;3912;3702; 10.791.665.952.240.400,00 ;2018-2021
Italy;2018;Beverages;1541938;1664294;1503;13197;4176; 10.793.520.880.865.500,00 ;2018-2021
UK;2021;Prepared Food;23853;25750;8173;34076;314; 10.795.287.804.469.000,00 ;2018-2021
Italy;2020;Fruits & Vegetables;149288;1612056;3449;118234;4813; 10.798.295.911.258.800,00 ;2018-2021
China;2021;Meat & Seafood;324871;350832;5508;33262;3558; 10.799.117.188.053.100,00 ;2018-2021
Turkey;2024;Grains & Cereals;2660516;2873429;19442;99899;4443; 10.800.269.571.767.300,00 ;2022-2024
Mexico;2023;Grains & Cereals;4707442;5084846;12851;1248;6475; 10.801.717.790.681.200,00 ;2022-2024
Argentina;2021;Bakery Items;1084669;1171708;19788;12285;3711; 10.802.447.566.953.600,00 ;2018-2021
Russia;2024;Meat & Seafood;762064;823241;17509;132256;6192; 10.802.780.343.908.100,00 ;2022-2024
Italy;2021;Bakery Items;440563;475981;11646;7364;4777; 10.803.925.885.741.700,00 ;2018-2021
South Korea;2021;Prepared Food;138336;1494719;19372;76208;6773; 10.804.989.301.411.100,00 ;2018-2021
Canada;2018;Dairy Products;3966822;4286987;12385;22212;5805; 10.807.107.049.421.400,00 ;2018-2021
Germany;2024;Fruits & Vegetables;3704695;4003762;9486;27945;6717; 10.807.264.835.566.800,00 ;2022-2024
Argentina;2024;Fruits & Vegetables;270916;2927915;13861;115097;4648; 10.807.464.306.279.400,00 ;2022-2024
Argentina;2018;Prepared Food;16585;179244;3886;56139;4943; 10.807.597.226.409.400,00 ;2018-2021
UK;2023;Grains & Cereals;2360983;2552057;15221;27287;6614; 10.809.298.499.819.800,00 ;2022-2024
India;2022;Beverages;4667966;5045852;9762;110462;6178; 10.809.530.317.915.800,00 ;2022-2024
Brazil;2018;Frozen Food;3367134;3639889;18353;63655;3167; 10.810.050.921.644.300,00 ;2018-2021
Japan;2018;Meat & Seafood;1937612;2094642;293;77135;6752; 10.810.430.571.239.200,00 ;2018-2021
Spain;2023;Frozen Food;4345284;4697835;16927;129791;5351; 10.811.341.675.250.700,00 ;2022-2024
Turkey;2021;Fruits & Vegetables;2121162;2293432;2356;46299;5205; 10.812.149.189.925.100,00 ;2018-2021
USA;2019;Prepared Food;431736;466872;3333;97897;5892; 10.813.830.674.301.000,00 ;2018-2021
Italy;2021;Dairy Products;1854611;2005632;10123;22302;3761; 10.814.300.141.647.000,00 ;2018-2021
Italy;2018;Meat & Seafood;155369;1680819;13363;81442;495; 10.818.239.159.677.900,00 ;2018-2021
USA;2020;Dairy Products;239457;259056;18397;123132;527; 10.818.476.803.768.500,00 ;2018-2021
Russia;2020;Prepared Food;729155;788877;5541;79428;3444; 10.819.057.676.351.400,00 ;2018-2021
Canada;2023;Frozen Food;529717;57319;12941;35881;6213; 10.820.683.497.037.100,00 ;2022-2024
Saudi Arabia;2019;Bakery Items;91728;99266;1355;6659;6766; 10.821.777.428.920.300,00 ;2018-2021
India;2020;Grains & Cereals;248146;268554;11161;94258;4695; 10.822.419.059.747.100,00 ;2018-2021
France;2020;Frozen Food;358000;3874659;6399;101224;4061; 10.823.069.832.402.200,00 ;2018-2021
Mexico;2024;Meat & Seafood;4611945;4991974;16745;7418;6786; 10.824.010.260.313.200,00 ;2022-2024
Germany;2020;Bakery Items;2162502;234074;14329;126724;4142; 10.824.221.203.032.400,00 ;2018-2021
Japan;2018;Meat & Seafood;4313323;4671787;15677;42367;6543; 10.831.062.269.160.000,00 ;2018-2021
Mexico;2022;Beverages;989178;107153;17853;136316;5537; 10.832.529.635.717.700,00 ;2022-2024
Brazil;2022;Meat & Seafood;658348;713303;5319;123858;6819; 10.834.740.896.911.700,00 ;2022-2024
Argentina;2024;Fruits & Vegetables;1116141;120946;7215;136698;5603; 10.836.086.121.735.500,00 ;2022-2024
South Korea;2020;Prepared Food;2242952;2430486;13067;128204;4055; 10.836.103.492.183.500,00 ;2018-2021
Mexico;2018;Prepared Food;4404255;4772723;3099;12512;5846; 10.836.618.224.875.700,00 ;2018-2021
Germany;2022;Frozen Food;2309958;2503275;16246;54341;5807; 10.836.885.345.967.300,00 ;2022-2024
Japan;2024;Grains & Cereals;189936;205886;4989;95505;5536; 10.839.756.549.574.600,00 ;2022-2024
India;2023;Meat & Seafood;4344692;4709644;3545;1615;5482; 10.839.995.102.069.400,00 ;2022-2024
Italy;2018;Fruits & Vegetables;369873;4009457;16267;58544;3042; 10.840.091.058.282.200,00 ;2018-2021
UK;2024;Grains & Cereals;3881858;4208185;6688;135579;6379; 10.840.646.412.104.700,00 ;2022-2024
Turkey;2022;Grains & Cereals;2997431;3249603;6529;110063;606; 10.841.293.761.224.200,00 ;2022-2024
Turkey;2022;Meat & Seafood;66704;72318;11605;85507;3886; 10.841.628.687.934.800,00 ;2022-2024
UK;2019;Fruits & Vegetables;3894044;4222931;11246;54213;5641; 10.844.589.840.279.200,00 ;2018-2021
Argentina;2020;Fruits & Vegetables;2555323;2771999;4037;57271;5782; 10.847.939.771.214.800,00 ;2018-2021
Italy;2019;Bakery Items;2326475;2523878;9673;106452;3161; 10.848.506.861.238.600,00 ;2018-2021
Indonesia;2022;Dairy Products;356636;3869079;4377;46777;6444; 10.848.817.842.281.800,00 ;2022-2024
Japan;2020;Grains & Cereals;4020459;4361855;2108;105182;4765; 10.849.146.826.270.300,00 ;2018-2021
Argentina;2018;Frozen Food;3518149;381773;17961;117974;5088; 10.851.530.165.436.400,00 ;2018-2021
South Africa;2018;Prepared Food;232814;252653;16694;2703;3277; 10.852.139.476.148.300,00 ;2018-2021
Turkey;2023;Prepared Food;987996;1072225;9561;45207;4495; 10.852.523.694.427.900,00 ;2022-2024
Canada;2023;Grains & Cereals;1587732;1723358;8486;4627;337; 10.854.212.171.827.500,00 ;2022-2024
Australia;2021;Meat & Seafood;891692;967904;8047;24557;4276; 10.854.689.735.917.800,00 ;2018-2021
Indonesia;2024;Fruits & Vegetables;3284467;3565428;11402;76299;648; 10.855.423.421.821.600,00 ;2022-2024
Spain;2024;Prepared Food;3445336;3740749;12969;40137;3976; 10.857.428.709.420.500,00 ;2022-2024
UK;2022;Prepared Food;1450724;1575193;10351;8147;526; 10.857.978.499.011.500,00 ;2022-2024
Argentina;2024;Prepared Food;1099623;1193982;15033;62847;6472; 10.858.103.186.273.800,00 ;2022-2024
Italy;2021;Grains & Cereals;1472103;159847;17751;48119;4059; 10.858.411.401.919.600,00 ;2018-2021
Brazil;2018;Bakery Items;176781;191999;13239;21048;3374; 10.860.839.117.326.000,00 ;2018-2021
France;2020;Beverages;414793;4505173;1574;5357;3976; 10.861.256.096.414.400,00 ;2018-2021
Mexico;2020;Dairy Products;3304831;3589581;11943;35912;6152; 10.861.617.432.177.300,00 ;2018-2021
Indonesia;2021;Frozen Food;2142018;2326772;3097;49666;6685; 10.862.523.097.378.300,00 ;2018-2021
Argentina;2020;Meat & Seafood;4379347;4757231;1161;63457;6241; 10.862.877.502.056.800,00 ;2018-2021
USA;2023;Beverages;1619732;1759557;11711;50679;5851; 10.863.260.094.879.900,00 ;2022-2024
India;2023;Meat & Seafood;3168222;3441923;12504;51579;6723; 10.863.894.638.696.400,00 ;2022-2024
Italy;2023;Meat & Seafood;2831647;3076901;17899;51897;6213; 10.866.117.845.903.800,00 ;2022-2024
Germany;2022;Beverages;4995672;5428418;11503;32746;3373; 10.866.241.818.918.500,00 ;2022-2024
South Korea;2021;Fruits & Vegetables;2104456;2287372;12464;119507;4236; 10.869.184.245.239.600,00 ;2018-2021
Spain;2023;Beverages;4678767;508570;5342;66344;6902; 10.869.744.101.384.000,00 ;2022-2024
China;2024;Grains & Cereals;88681;964064;10774;66852;543; 10.871.144.890.111.700,00 ;2022-2024
USA;2020;Frozen Food;964253;1048268;12964;99327;5091; 10.871.296.226.197.900,00 ;2018-2021
France;2020;Meat & Seafood;1124338;1222377;19306;1898;6811; 10.871.970.884.200.300,00 ;2018-2021
Mexico;2021;Prepared Food;307508;334323;13734;2304;3481; 10.872.009.833.890.500,00 ;2018-2021
Turkey;2019;Dairy Products;4523782;4919019;3378;22682;4535; 10.873.687.105.170.000,00 ;2018-2021
France;2024;Grains & Cereals;4689011;5099135;10117;97027;6948; 10.874.649.259.726.600,00 ;2022-2024
Italy;2021;Meat & Seafood;2378431;2586598;14752;114216;5913; 10.875.228.249.211.300,00 ;2018-2021
Turkey;2024;Prepared Food;4855823;5280909;13997;48672;4624; 10.875.414.939.959.700,00 ;2022-2024
Italy;2021;Prepared Food;684589;744535;641;18661;5337; 10.875.649.477.277.600,00 ;2018-2021
Spain;2019;Fruits & Vegetables;475901;5176667;17317;73017;3414; 10.877.613.201.064.900,00 ;2018-2021
USA;2019;Frozen Food;2930389;3187838;2979;11154;3989; 10.878.548.888.901.800,00 ;2018-2021
Canada;2019;Prepared Food;3488755;379557;2127;32229;692; 10.879.439.800.157.900,00 ;2018-2021
Spain;2021;Prepared Food;267611;2911464;7518;6705;4635; 10.879.463.101.292.500,00 ;2018-2021
UK;2020;Bakery Items;2581146;2808408;9953;88796;3635; 10.880.469.372.906.500,00 ;2018-2021
Turkey;2018;Grains & Cereals;4819434;5244424;6353;86955;6076; 10.881.825.542.169.500,00 ;2018-2021
Mexico;2021;Prepared Food;2484969;2704372;1325;88212;319; 10.882.920.471.040.100,00 ;2018-2021
Argentina;2023;Frozen Food;4100981;4463439;9855;70653;658; 10.883.832.429.362.600,00 ;2022-2024
Turkey;2022;Beverages;3922894;4271273;16494;109414;4458; 10.888.066.310.229.100,00 ;2022-2024
Argentina;2021;Meat & Seafood;2444403;2661582;12383;30378;6073; 10.888.474.609.137.700,00 ;2018-2021
Russia;2020;Meat & Seafood;1616438;1760722;15109;92006;3238; 10.892.604.603.455.300,00 ;2018-2021
Saudi Arabia;2020;Meat & Seafood;281480;3066305;16789;96156;6939; 10.893.509.307.943.700,00 ;2018-2021
China;2018;Meat & Seafood;2064096;2248533;2104;1613;3123; 10.893.548.555.881.100,00 ;2018-2021
Russia;2024;Fruits & Vegetables;3274978;3567731;13084;57411;5717; 10.893.908.294.956.500,00 ;2022-2024
Australia;2024;Beverages;195975;2134934;13519;64732;3333; 10.893.909.937.492.000,00 ;2022-2024
South Korea;2020;Beverages;4203089;4578918;6352;58527;6006; 10.894.173.309.201.900,00 ;2018-2021
India;2018;Dairy Products;4509191;4912626;2551;115308;6708; 10.894.694.857.680.700,00 ;2018-2021
France;2023;Fruits & Vegetables;534994;582907;4626;12511;4507; 10.895.580.137.347.300,00 ;2022-2024
South Korea;2019;Dairy Products;2716915;2960645;6148;7555;5486; 10.897.083.640.820.600,00 ;2018-2021
Spain;2018;Frozen Food;4116411;4486098;1187;104549;5902; 10.898.080.876.763.800,00 ;2018-2021
Japan;2020;Frozen Food;35901;391305;10544;59158;307; 10.899.557.115.400.700,00 ;2018-2021
Japan;2022;Prepared Food;3434336;374331;13702;46765;3224; 10.899.661.535.737.900,00 ;2022-2024
Italy;2023;Grains & Cereals;416038;453482;3585;136106;4791; 10.900.013.941.034.200,00 ;2022-2024
Turkey;2020;Meat & Seafood;2826104;3080928;10785;12922;6237; 10.901.679.485.256.000,00 ;2018-2021
Brazil;2023;Meat & Seafood;372293;4059328;9941;72092;5829; 10.903.584.005.071.300,00 ;2022-2024
USA;2024;Bakery Items;2858583;3117026;8282;56049;3867; 10.904.094.791.020.600,00 ;2022-2024
USA;2024;Meat & Seafood;1328519;1448671;8234;31096;4072; 10.904.405.582.456.900,00 ;2022-2024
Russia;2023;Dairy Products;4990897;544353;5124;8322;3605; 10.906.917.133.332.900,00 ;2022-2024
France;2018;Bakery Items;150885;164631;7149;134558;3709; 10.911.024.952.778.600,00 ;2018-2021
Italy;2019;Grains & Cereals;1659769;1810991;2346;129702;4573; 10.911.102.689.591.100,00 ;2018-2021
UK;2022;Fruits & Vegetables;3778732;4123155;8306;22281;504; 10.911.477.712.629.500,00 ;2022-2024
Spain;2018;Prepared Food;1385447;1511789;10359;8338;6781; 10.911.922.289.340.600,00 ;2018-2021
Spain;2023;Frozen Food;971622;1060428;14942;96375;416; 10.913.997.418.749.300,00 ;2022-2024
Saudi Arabia;2018;Bakery Items;3540682;3864384;10487;15473;3923; 10.914.236.296.849.000,00 ;2018-2021
UK;2019;Meat & Seafood;3613992;3944509;13812;28487;4594; 10.914.548.233.643.000,00 ;2018-2021
Spain;2019;Meat & Seafood;2775559;3029611;7778;94296;5499; 10.915.318.319.661.000,00 ;2018-2021
India;2024;Grains & Cereals;3944062;4305191;8283;131774;5069; 10.915.627.086.998.100,00 ;2022-2024
Saudi Arabia;2024;Meat & Seafood;704917;769597;13652;64309;4124; 10.917.554.832.696.600,00 ;2022-2024
Canada;2022;Fruits & Vegetables;2641684;2884362;5422;112268;3098; 10.918.648.861.862.400,00 ;2022-2024
Turkey;2020;Fruits & Vegetables;2631228;2873145;12982;118485;5989; 10.919.407.212.145.800,00 ;2018-2021
Japan;2018;Frozen Food;178801;195256;15902;43013;6852; 10.920.296.866.348.600,00 ;2018-2021
Brazil;2024;Bakery Items;3144981;3434423;11949;120732;461; 10.920.329.884.345.900,00 ;2022-2024
Saudi Arabia;2024;Fruits & Vegetables;4672263;5104187;3236;136124;5198; 10.924.442.823.531.100,00 ;2022-2024
Brazil;2018;Fruits & Vegetables;3910407;4272278;14122;24856;4485; 10.925.404.951.453.900,00 ;2018-2021
Italy;2021;Meat & Seafood;4161606;4546727;19875;9715;6996; 10.925.414.371.278.800,00 ;2018-2021
Saudi Arabia;2018;Frozen Food;2451417;267882;18901;13219;6716; 10.927.638.994.100.100,00 ;2018-2021
South Korea;2022;Grains & Cereals;840655;918841;17168;107782;3152; 10.930.060.488.547.600,00 ;2022-2024
South Korea;2021;Fruits & Vegetables;1001217;1094356;9601;1212;3795; 10.930.257.876.164.700,00 ;2018-2021
India;2020;Meat & Seafood;1882535;2057713;13974;25095;5419; 10.930.543.124.032.200,00 ;2018-2021
India;2024;Meat & Seafood;101855;111339;8091;62954;4608; 10.931.127.583.329.200,00 ;2022-2024
China;2021;Prepared Food;1035784;1132282;7271;122944;5283; 10.931.642.118.434.000,00 ;2018-2021
Japan;2018;Beverages;278542;304534;9369;78244;490; 10.933.144.732.212.700,00 ;2018-2021
India;2021;Dairy Products;1919597;2098826;16968;42231;4397; 10.933.680.350.615.300,00 ;2018-2021
Spain;2023;Bakery Items;366349;400562;17917;79908;6117; 10.933.890.907.304.200,00 ;2022-2024
Canada;2021;Frozen Food;3437948;3759421;10498;35903;3181; 10.935.072.316.393.400,00 ;2018-2021
Italy;2023;Bakery Items;1510201;1651517;18279;54722;6459; 10.935.742.990.502.600,00 ;2022-2024
France;2021;Prepared Food;244511;267416;10172;4691;5924; 10.936.767.670.984.100,00 ;2018-2021
UK;2023;Dairy Products;2551974;2791281;12041;6077;6378; 10.937.732.907.937.100,00 ;2022-2024
France;2023;Beverages;4512617;4935792;15641;116242;3392; 10.937.759.619.307.400,00 ;2022-2024
South Korea;2021;Beverages;2339334;2559424;10154;37429;3159; 10.940.823.328.349.000,00 ;2018-2021
South Korea;2024;Dairy Products;765424;83745;4054;85074;609; 10.940.994.795.041.700,00 ;2022-2024
Canada;2023;Bakery Items;3876871;424169;16411;2282;5076; 10.941.014.029.097.200,00 ;2022-2024
Russia;2019;Prepared Food;3113068;3406113;9435;20845;6321; 10.941.338.255.380.200,00 ;2018-2021
UK;2020;Dairy Products;2088102;2284714;2123;66232;5131; 10.941.582.355.651.200,00 ;2018-2021
Turkey;2018;Dairy Products;1322416;1447086;8284;39892;6755; 10.942.744.189.423.000,00 ;2018-2021
Spain;2019;Bakery Items;1948274;2132079;303;105399;6111; 10.943.424.795.485.600,00 ;2018-2021
India;2021;Bakery Items;4211549;4609093;387;139861;4755; 10.943.937.729.324.800,00 ;2018-2021
Italy;2022;Prepared Food;3044472;3331975;17402;107282;338; 10.944.344.372.357.500,00 ;2022-2024
Russia;2021;Prepared Food;4076094;4461765;11268;75308;6646; 10.946.177.885.004.600,00 ;2018-2021
Spain;2020;Dairy Products;1778674;194709;12844;95751;4588; 10.946.862.662.860.100,00 ;2018-2021
USA;2018;Fruits & Vegetables;2325562;2546094;15146;49113;4222; 10.948.295.508.784.500,00 ;2018-2021
Germany;2021;Beverages;110954;121482;17078;4927;4429; 10.948.861.690.430.300,00 ;2018-2021
France;2024;Dairy Products;4506606;4934846;14563;129884;4708; 10.950.249.478.210.400,00 ;2022-2024
UK;2023;Bakery Items;861986;94391;7456;11067;4519; 10.950.409.867.445.600,00 ;2022-2024
USA;2023;Beverages;441122;483153;9476;114237;3986; 10.952.820.308.214.100,00 ;2022-2024
South Korea;2023;Frozen Food;3832879;4198215;3263;78591;5774; 10.953.163.405.367.100,00 ;2022-2024
China;2020;Fruits & Vegetables;554898;607855;17626;26115;3321; 10.954.355.575.258.900,00 ;2018-2021
Italy;2019;Bakery Items;2278626;2496286;10832;89247;5547; 10.955.224.771.419.300,00 ;2018-2021
Indonesia;2024;Grains & Cereals;2070763;2268673;16569;126947;3946; 10.955.734.673.644.400,00 ;2022-2024
Australia;2023;Dairy Products;4775798;5233054;872;2613;6582; 10.957.444.180.009.300,00 ;2022-2024
Japan;2021;Frozen Food;345337;378444;19215;108688;4402; 10.958.686.732.090.700,00 ;2018-2021
France;2019;Beverages;1869862;2049574;1998;2454;351; 10.961.097.663.891.800,00 ;2018-2021
France;2024;Meat & Seafood;1937714;2124056;4261;62477;333; 10.961.658.944.508.800,00 ;2022-2024
Saudi Arabia;2024;Meat & Seafood;75155;82384;7155;92916;647; 10.961.878.783.846.700,00 ;2022-2024
Brazil;2024;Grains & Cereals;455403;499248;273;11047;4599; 10.962.773.631.267.300,00 ;2022-2024
India;2018;Beverages;4090629;4484878;5035;93391;4548; 10.963.785.764.976.500,00 ;2018-2021
South Africa;2024;Bakery Items;335198;3675781;16169;27608;564; 10.965.999.200.472.600,00 ;2022-2024
South Korea;2024;Beverages;614225;673691;1919;59862;3755; 10.968.146.851.723.700,00 ;2022-2024
South Korea;2020;Grains & Cereals;1486854;163156;10698;11226;4889; 10.973.236.107.916.400,00 ;2018-2021
China;2024;Meat & Seafood;4431375;4863101;10824;68406;5334; 10.974.248.399.198.900,00 ;2022-2024
India;2020;Prepared Food;332290;3646828;19901;82494;3895; 10.974.835.234.283.300,00 ;2018-2021
Japan;2018;Prepared Food;4621112;5073208;3452;27231;6786; 10.978.327.294.382.800,00 ;2018-2021
Australia;2018;Bakery Items;1330477;1460684;7311;105166;3158; 10.978.649.010.843.500,00 ;2018-2021
South Korea;2019;Frozen Food;3261689;3581875;10535;3985;3994; 10.981.657.049.461.200,00 ;2018-2021
Japan;2019;Fruits & Vegetables;4555757;5002992;15541;1171;5818; 10.981.691.955.914.200,00 ;2018-2021
Argentina;2023;Fruits & Vegetables;3135095;3443063;16705;1595;5855; 10.982.324.299.582.600,00 ;2022-2024
Argentina;2023;Grains & Cereals;2528383;2776957;1641;1742;4745; 10.983.134.279.893.500,00 ;2022-2024
Indonesia;2019;Dairy Products;2099304;2306049;8523;10866;5334; 10.984.826.399.606.700,00 ;2018-2021
Italy;2023;Bakery Items;3073372;3376958;12073;118992;617; 10.987.794.513.648.200,00 ;2022-2024
Mexico;2021;Grains & Cereals;1574216;1729758;10001;13609;662; 10.988.060.088.323.300,00 ;2018-2021
Canada;2021;Dairy Products;1735204;1907279;12583;62235;6297; 10.991.670.143.683.400,00 ;2018-2021
Australia;2023;Meat & Seafood;2270351;2495567;6684;135771;4976; 10.991.987.582.536.800,00 ;2022-2024
Spain;2018;Dairy Products;3620222;3979418;2647;7908;3737; 10.992.193.296.433.200,00 ;2018-2021
Germany;2019;Meat & Seafood;3566198;3920805;14685;78928;4416; 10.994.355.893.867.900,00 ;2018-2021
USA;2024;Frozen Food;522314;574353;4844;113558;5471; 10.996.316.392.055.400,00 ;2022-2024
India;2023;Frozen Food;1129296;1241868;19113;69074;6175; 10.996.833.425.426.100,00 ;2022-2024
France;2020;Beverages;1748283;1923097;10882;102601;3197; 10.999.918.205.462.200,00 ;2018-2021
China;2021;Grains & Cereals;2710378;2981856;3495;72483;4083; 11.001.624.127.704.700,00 ;2018-2021
Japan;2018;Beverages;1496097;1646024;9482;118545;4719; 11.002.120.851.789.700,00 ;2018-2021
Brazil;2022;Bakery Items;4507643;4960071;5927;106066;605; 11.003.690.842.420.300,00 ;2022-2024
USA;2023;Dairy Products;135066;148633;12625;91687;4574; 11.004.471.887.817.800,00 ;2022-2024
Germany;2023;Prepared Food;1347756;148334;13243;7196;3127; 11.005.998.118.353.800,00 ;2022-2024
Spain;2024;Bakery Items;2102229;2313714;9709;37462;6455; 11.006.003.627.578.200,00 ;2022-2024
Japan;2023;Fruits & Vegetables;321841;3543717;16427;131674;4638; 11.010.769.292.911.700,00 ;2022-2024
Argentina;2018;Beverages;1722592;1896816;14784;112566;3105; 11.011.406.067.136.000,00 ;2018-2021
China;2020;Dairy Products;3702022;4077278;10394;108331;6767; 11.013.651.458.581.300,00 ;2018-2021
UK;2021;Prepared Food;1925209;2120456;11412;44744;6063; 11.014.160.021.067.800,00 ;2018-2021
USA;2023;Grains & Cereals;63997;70496;6154;85042;634; 11.015.516.352.329.000,00 ;2022-2024
Japan;2020;Dairy Products;3308768;3644818;13676;107822;6094; 11.015.634.822.387.100,00 ;2018-2021
Canada;2024;Grains & Cereals;455216;5014526;7192;126221;6652; 11.015.706.829.285.400,00 ;2022-2024
USA;2024;Prepared Food;453811;499914;2616;93289;6171; 11.015.907.503.343.900,00 ;2022-2024
South Korea;2020;Meat & Seafood;67251;74107;14208;943;4968; 11.019.464.394.581.500,00 ;2018-2021
Germany;2024;Frozen Food;3382482;3727506;15176;60836;4168; 11.020.032.035.647.200,00 ;2022-2024
Canada;2024;Grains & Cereals;1299752;1432493;2211;13841;5406; 11.021.279.444.078.600,00 ;2022-2024
Italy;2023;Frozen Food;704763;777009;1921;106628;3835; 11.025.110.569.084.900,00 ;2022-2024
